ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
4001,2.8386,119.2998,283.7002,3638.9592
4002,2.8496,119.6144,284.3856,3653.1985
4003,2.8514,119.9272,285.0728,3653.1985
4004,2.8568,120.2394,285.7606,3660.1729
4005,2.8568,120.5516,286.4484,3660.1729
4006,2.8682,120.8626,287.1374,3679.8096
4007,2.8766,121.1816,287.8184,3709.952
4008,2.8768,121.5004,288.4996,3709.952
4009,2.897,121.8216,289.1784,3735.064
4010,2.9036,122.1436,289.8564,3746.5352
4011,2.9044,122.466,290.534,3747.6711
4012,2.9246,122.795,291.205,3783.884
4013,2.9294,123.1192,291.8808,3783.884
4014,2.9374,123.4424,292.5576,3797.5344
4015,2.9376,123.7654,293.2346,3797.5344
4016,2.9392,124.0904,293.9096,3804.5544
4017,2.9412,124.4148,294.5852,3806.5896
4018,2.9412,124.7392,295.2608,3806.5896
4019,2.9508,125.0662,295.9338,3820.7783
4020,2.9532,125.3908,296.6092,3820.7783
4021,2.9538,125.7166,297.2834,3823.1184
4022,2.9616,126.0432,297.9568,3836.46
4023,2.9616,126.3698,298.6302,3836.46
4024,2.964,126.6954,299.3046,3840.1
4025,2.9658,127.0192,299.9808,3840.1
4026,2.9668,127.342,300.658,3840.1
4027,2.9726,127.6688,301.3312,3854.339
4028,2.9772,128.0078,301.9922,3898.0183
4029,2.9946,128.3452,302.6548,3932.2664
4030,3.0072,128.6852,303.3148,3952.0264
4031,3.013,129.0272,303.9728,3967.2375
4032,3.0314,129.3606,304.6394,3986.248
4033,3.034,129.6936,305.3064,3989.108
4034,3.0382,130.0266,305.9734,3993.476
4035,3.0504,130.3572,306.6428,4007.715
4036,3.0504,130.693,307.307,4018.4023
4037,3.057,131.03,307.97,4032.3127
4038,3.0586,131.3686,308.6314,4038.1953
4039,3.0588,131.707,309.293,4038.1953
4040,3.0588,132.0454,309.9546,4038.1953
4041,3.0596,132.3842,310.6158,4043.129
4042,3.065,132.723,311.277,4052.364
4043,3.065,133.0618,311.9382,4052.364
4044,3.065,133.4006,312.5994,4052.364
4045,3.065,133.7394,313.2606,4052.364
4046,3.0704,134.0766,313.9234,4059.3489
4047,3.0704,134.4138,314.5862,4059.3489
4048,3.0804,134.745,315.255,4066.7
4049,3.092,135.0726,315.9274,4080.136
4050,3.116,135.4,316.6,4117.5674
4051,3.1176,135.7258,317.2742,4117.5674
4052,3.1224,136.056,317.944,4132.317
4053,3.1228,136.3858,318.6142,4132.317
4054,3.1228,136.7156,319.2844,4132.317
4055,3.123,137.0452,319.9548,4132.317
4056,3.1328,137.384,320.616,4159.92
4057,3.148,137.711,321.289,4166.9063
4058,3.1486,138.0374,321.9626,4166.9063
4059,3.1494,138.363,322.637,4166.9063
4060,3.1674,138.6858,323.3142,4185.134
4061,3.1674,139.0086,323.9914,4185.134
